Narrowed Point	USED SAT	General Point	General Kp	General F10.7	Operation	Supports Hypothesis	Overall POSN	Horizontal Path	Vertical Path	Bx Crossing	CROSS DIFF	Outflow	T Models	Further Notes											
2017-08-06 09:48:19.000	4	2017-08-06 16:50:44.000																							
2017-08-08 20:40:58.000	4	2017-08-08 20:40:58.000																							
2017-08-11 01:07:15.000	4	2017-08-11 01:07:15.000																							
2017-08-13 05:32:08.000	4	2017-08-13 05:32:08.000																							
2017-08-15 15:39:06.000	4	2017-08-15 15:39:06.000																							
2017-08-17 21:04:51.000	4	2017-08-17 21:04:51.000																							
2017-08-20 01:53:42.000	4	2017-08-20 01:53:42.000																							
2017-08-22 07:10:39.000	4	2017-08-22 07:10:39.000																							
2017-08-24 16:15:42.000	4	2017-08-24 16:15:42.000																							
2017-09-07 04:31:42.000	4	2017-09-07 04:31:42.000																							
2017-09-09 14:35:48.000	4	2017-09-09 14:35:48.000																							
2017-09-11 19:23:50.000	4	2017-09-11 19:23:50.000																							
2017-09-14 00:20:04.000	4	2017-09-14 00:20:04.000																							
2017-09-16 05:33:59.000	4	2017-09-16 05:33:59.000																							
2017-09-18 15:58:52.000	4	2017-09-18 16:11:16.000																							
2017-09-20 20:20:01.000	4	2017-09-20 20:20:01.000																							
2017-09-23 00:23:19.000	4	2017-09-23 00:23:19.000																							
2017-09-25 09:53:32.000	4	2017-09-25 09:53:32.000																							
2017-09-27 17:21:37.000	4	2017-09-27 17:21:37.000																							
2017-09-29 20:44:44.000	4	2017-09-29 20:44:44.000																							
2017-09-07 04:31:35.000	4	2017-09-07T05:00:00.000		130.4			Decent		STN	EARLY TSYG	1.5 Hour	HIN	"Missing T01S, T96"	"missing outflow, missing models, low outflow"											
2017-09-14 00:20:17.000	4	2017-09-14T00:00:00.000	about 2	75.1			MEH		STN	EARLY TSYG	1 Hour	HIN	Missing T01S	"missing outflow, missing models, low outflow"											
2018-08-25 22:32:10.000	4	2018-08-25T18:30:00.000	about 5	73.1			Pretty Good		STN	EARLY TSYG	15 Minutes	HIS	"Missing T01S, T96"	"missing outflow, missing models, low outflow"											
2018-08-28 02:39:09.000	4	2018-08-28T01:30:00.000	about 5	70.6			EXCELLENT		STN	EARLY TSYG	15 Minutes	TOSSUP	Missing T01S	"missing outflow, missing models"										
